"Video-Nr","Videotitel","Szenen-Nr","Sprechtext/Inhalt","Caption","Visuell/Setup","Effekte","Sound","Personen-Anzahl","Personen-Rolle","Drehort","Anmerkungen",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.3","Interview-Aussage Schichtleiter (am Drehtag aufgenommen, kein vorab fixierter O-Ton)","","Bezugspersonen-Beat (Pflicht aus Re-Analyse): Schichtleiter Adelsheim, mid-shot, in Lager-Bewegung.","Statischer Mid-Shot mit leichter Bewegung.","Underscore tritt für Anker-Statement zurück.","1","Schichtleiter Adelsheim (Cornelia + Ausbildungsleitung nominieren konkrete Person)","Adelsheim Lagerhalle","Pflicht-Verstärkung Re-Analyse: Bezugspersonen prominent, nicht nur am Schluss.",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.4","Interview-Aussage Azubi 3 (am Drehtag aufgenommen, kein vorab fixierter O-Ton)","","Multi-Voice-Szene 3 (Stationen-Rotation): Azubi 3 (3. Lehrjahr, Großhandel-AHM mit Cross-Vouch), B-Roll Stapler-Bedienung close -> Scanner -> AKL-Förderband -> Lkw-Verladung.","Schnelle B-Roll-Schnitte zwischen den Stationen.","Underscore mit klaren Beats für B-Roll-Cuts.","1","Großhandel/AHM-Azubi 3. Lehrjahr","Adelsheim AKL-Bereich + Lagerhalle","",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.5","Personality-Moment, kein direkter O-Ton nötig (Atmo)","","Azubi 1 oder 2 lacht mit Kollegen in Pausenraum (lockere Stimmung), kurze 3-Sek-Sequenz. Gebrandete Kühltaschen sichtbar wenn Sommer-Bilder vorhanden.","Atmo-Schnipsel, leichte Slow-Mo möglich.","Underscore mit lockerer Stimmung, Lach-Atmo.","3","Azubi + Kollegen (Pausenraum-Gruppe)","Adelsheim Pausenraum","Kühltaschen-Detail aus STORY-A-C05-1.",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.6","O-Ton Ausbildungsleitung (Name folgt nach Bestätigung): 'Wir kennen jeden unserer Azubis beim Namen. Das ist hier nicht Floskel - das ist Voraussetzung dafür, dass wir wissen, wo wir wen einsetzen.'","","Ausbildungsleitung im Interview-Setup, Verwaltungs-Setting Adelsheim oder vor Logo-Wand.","Statischer Interview-Frame.","Underscore zurückhaltend.","1","Ausbildungsleitung (Name folgt nach Bestätigung); Optional Lagerleiter Adelsheim als männliche Stimme falls Ausbildungsleitung nicht vor Kamera","Adelsheim Verwaltung","Ausbildungsleitung seit Juni 2025 im Ausbildungsmanagement. Drehbereitschaft vor Kamera offen.",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.7","Animation Caption: 'XXX Auszubildende seit Jahr X' / 'Übernahmequote: fast alle' (oder konkrete %-Zahl)","12 Standorte. XXX Auszubildende. Übernahmequote: ...","Beweis-Card-Outro animiert: Pin-Drops auf Karte erscheinen für 12 Standorte, Counter zählt hoch. Schwarzer Hintergrund, weiße Typografie + Würth-Anker.","Animierte Pin-Drops, Counter-Animation.","Underscore baut auf, Ankunfts-Beat.","","","","OFFEN: konkrete Zahlen Übernahmequote (Yannik) + Auszubildende-seit-Jahr-Zahl (Ausbildungsleitung). Mindestens zwei davon konkret, sonst weglassen.",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.8","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","BEWIRB DICH JETZT.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'BEWIRB DICH JETZT.' Sub: 'Ausbildung Fachkraft Lagerlogistik. Adelsheim + Kupferzell. Start 2027.' Logo WLC + Würth-Anker. +.","Harter Cut auf Endcard.","Schluss-Beat.","","","","Hashtags: #wlc #ausbildung2027 #würthgruppe #lagerlogistik #teamwlc. Doppel-Hebel CTA (Mitarbeiter-CTA durch Ausbildungsleitung / Schichtleiter + Endcard).",""
"Video 3 - Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","","","","","","","","","","","",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","Hook A","Hostin/Host vor WLC-Eingang, Mikro in der Hand: 'Schauen wir mal, ob ein Kaufmann bei WLC noch was anderes macht als am PC zu sitzen.' Caption: 'Adelsheim. 7:54 Uhr.'","Adelsheim. 7:54 Uhr.","Reporter-Format-Standard. Mikrofon mit WLC-Branding (oder neutral). Außen vor Verwaltungs-Eingang Adelsheim.","Statischer Reporter-Frame, leichter Camera-Push-In.","Office-Ambiente, leichter mid-tempo Underscore.","1","Hostin/Host (Recruiting Fachkraft WLCP / Ausbildungsleitung / extern - Name folgt nach Bestätigung)","Adelsheim Verwaltungs-Eingang","Reporter-Greif-Mikro: Niro bringt mit. Reporter-Rolle: Cornelia oder Lager-Azubi (Entscheidung vor Ort).",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","Hook B","Reporter-VO: 'Heute mit einem Azubi-Kaufmann unterwegs. Fünf Räume in einer halben Stunde.'","","Schnelle Schnipsel-Vorschau auf die fünf Räume (Disposition, Telefonat-Setting, Lagertor, Büro, Pausenraum) - jeweils 0,7 Sek. Dann Cut auf Reporter-Frontal-Shot mit Mikro vor Eingang.","Schnipsel-Vorschau-Frames mit harten Cuts, Drop-Beat auf Reporter-Statement.","Schneller Beat, dann Drop auf Reporter-Statement.","1","Reporter/Hostin","Adelsheim (Multi-Frame: Disposition, Telefon-Setting, Lagertor, Büro, Pausenraum, Eingang)","Mutiger / zugespitzt.",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","Hook C","Caption: 'Kaufmann bei WLC?' Am Ende Caption: 'Was Kaufmann bei WLC wirklich heißt.'","Kaufmann bei WLC? / Was Kaufmann bei WLC wirklich heißt.","Vertikales Splitscreen. Links (oben): Klischee-Bild - Person starrt in Excel-Tabelle in steriles Office. Rechts (unten): Realität - Azubi am Telefon mit Headset, Cut auf Lagertor mit Stapler, Cut auf Meeting-Setting.","Splitscreen, links statisch, rechts dynamisch (3-4 Realitäts-Frames). Cut alle 1 Sek im Splitscreen. Drop-Beat zum 'Realität'-Switch.","Underscore mit klarem Drop-Beat zum Realität-Switch.","2","Klischee-Komparserie (Excel) + Azubi-Hauptdarsteller","Adelsheim (Office + Lagertor + Meeting-Setting)","Klischee-Bild kann Stockfootage-Charakter haben.",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.1","Reporter: 'Hey, wer bist du, was machst du hier?' Azubi: 'Ich bin [Name], 2./3. Lehrjahr, Großhandel und Außenhandelsmanagement.'","","Reporter trifft Azubi: Walking-Begin, Reporter-Mikro in Aktion.","Walking-Shot, leichte Tracking-Bewegung.","Office-Ambiente, Underscore mid-tempo.","2","Reporter/Hostin + Großhandel/AHM-Azubi (3. Lehrjahr bevorzugt)","Adelsheim Verwaltungs-Eingang/Empfang","",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.2","Reporter: 'Was machst du hier gerade?' Azubi: 'Ich plane gerade die Wareneingänge für nächste Woche.'","","Walking-Station 1 - Disposition: kurzer Schnipsel mit Speed-Ramp; Cut auf Bildschirm-close mit Disposition-Tabelle.","Speed-Ramp im Walking-Shot.","Speed-Ramp-Sync-Cut, Underscore mit klarem Beat.","2","Reporter/Hostin + Azubi","Adelsheim Disposition","OFFEN MIT KUNDE: Inhalt dieser Walking-Station ist nicht final - Niro-Kundenberatung / Cornelia / Ausbildungsleitung liefern Feedback, was an dieser Station real passiert und gezeigt werden soll. | Disposition-Bildschirm-Inhalt klären (Datenschutz: keine echten Kunden-/Bestelldaten zeigen).",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.3","Reporter overlay: 'Telefonieren?' Azubi (zur Kamera, leicht lachend): 'Hat man als 17-Jähriger nicht mehr drauf, ehrlich. Lernst du hier. Hilft auch beim Pizza bestellen.'","","Walking-Station 2 - Telefonat mit Lieferant (Skill-Lern-Anker, Cornelia-Linie): Azubi mit Headset, kurzer Telefon-Schnipsel im Hintergrund.","Cut von Headset-Setting auf Frontal-Statement.","Telefonklingeln/Headset-Atmo.","1","Azubi mit Headset (Lieferant simuliert, kein Gegenüber nötig)","Adelsheim Büro/Telefonat-Setting","OFFEN MIT KUNDE: Inhalt dieser Walking-Station ist nicht final - Niro-Kundenberatung / Cornelia / Ausbildungsleitung liefern Feedback, was an dieser Station real passiert und gezeigt werden soll. | Telefonieren-Frame als Skill-Lern-Anker, NICHT als Defizit-Frame. Backup: Streichungs-Option (Cornelia/Yannik im Termin 12.5).",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.4","Reporter: 'Du bist hier auch im Lager?' Azubi: 'Mehrmals am Tag. Ich bin die Schnittstelle.'","","Walking-Station 3 - Schnittstelle zum Lager: Azubi geht durch Verwaltungs-Tür ins Lager, redet kurz mit Lagermitarbeiter, übergibt Tablet/Lieferschein.","Walking-Tracking-Shot, Match-Cut auf Lagertor-Übergang.","Setting-Wechsel-Atmo (Verwaltung -> Lager).","2","Azubi + Lagermitarbeiter (Komparserie aus B-Roll-Pool)","Adelsheim Lagertor + Halle","OFFEN MIT KUNDE: Inhalt dieser Walking-Station ist nicht final - Niro-Kundenberatung / Cornelia / Ausbildungsleitung liefern Feedback, was an dieser Station real passiert und gezeigt werden soll.",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.5","Reporter im Off: 'Excel?' Azubi: 'Auch. Aber das ist nicht das, was den Tag macht.'","","Walking-Station 4 - Büro / Disposition (zweiter Pass, Tiefe): Azubi am Schreibtisch, Bildschirm zeigt ERP-/SAP-Maske.","Bildschirm-close + Schulter-Shot Azubi.","Underscore mid-tempo.","1","Azubi am Schreibtisch","Adelsheim Büro","OFFEN MIT KUNDE: Inhalt dieser Walking-Station ist nicht final - Niro-Kundenberatung / Cornelia / Ausbildungsleitung liefern Feedback, was an dieser Station real passiert und gezeigt werden soll. | Bildschirm-Inhalt rechtefrei, ggf. ND-Overlay falls Daten sensibel.",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.6","Reporter: 'Was war dein bisheriges Highlight?' Azubi: konkreter O-Ton (Beispiele: 'Erste eigene Bestellung' / 'mein erster eigener Kundenbesuch' / 'eine Idee, die wir dann wirklich umgesetzt haben').","","Walking-Station 5 - Pausenraum, kurze Mini-Story.","Statisches Sit-Down oder Walking-Shot.","Underscore zurückhaltend, ehrliches O-Ton-Setting.","2","Reporter + Azubi","Adelsheim Pausenraum","O-Ton drehbar je nach Casting.",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.7","Reporter: 'Was sollte jemand mitbringen, der bei euch anfängt?' Azubi: 'Mut zum Telefon. Lust, die Übersicht zu behalten. Und du musst gerne mit Leuten reden - wir sind nicht im Homeoffice.'","","Bewerber-Profil-Beat: statisches Sit-Down oder Walking-Shot.","Frontal-Frame, statischer O-Ton.","Underscore zurückhaltend.","1","Azubi (ggf. mit Reporter)","Adelsheim","",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.8","Reporter: 'Ich hab heute fünf Räume gesehen. Excel war einer davon. Wenn du Lust hast, hier mal vorbeizuschauen - der Link ist unten.'","","Reporter-Schluss-Beat: vor WLC-Eingang oder mit Würth-Anker im Hintergrund.","Endcard-Übergang, leichter Push-In.","Underscore zieht zum Schluss-Beat.","1","Reporter/Hostin","Adelsheim Verwaltungs-Eingang oder Logo-Wand","",""
"3","Azubi Großhandel/Außenhandelsmanagement - Reporter-Walk-Around","3.9","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","BEWIRB DICH JETZT.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'BEWIRB DICH JETZT.' Sub: 'Kaufmann/-frau Groß- und Außenhandelsmanagement. WLC Adelsheim. Start 2027.' Logo WLC + Würth-Anker. +.","Harter Cut auf Endcard.","Schluss-Beat.","","","","Hashtags: #wlc #ausbildung2027 #kaufmann #großundaußenhandel #würthgruppe. Hardlink job_details_257.",""
"Video 4 - Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","","","","","","","","","","","",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","Hook A","VO (kann generierte Stimme für ersten Cut sein, später Marvin-Stimme): 'Wenn du seit Jahren denselben Gang läufst und dich fragst, ob's das war...'","Wenn du seit Jahren denselben Gang läufst und dich fragst, ob's das war...","Lange Gang-Aufnahme (Tele-Kompression, Kamera am Boden oder Slider, Mitarbeiter geht von der Kamera weg in einen Hochregal-Gang). Slow-Motion.","Slow-Motion, Tele-Kompression, Slider-Bewegung.","Underscore ruhig, ernsthaft, mit Aufbau.","1","Mitarbeiter (Marvin oder Backup)","Kupferzell Hochregal-Gang","Kein TikTok-Trend-Sound nötig (Zielgruppe 28-45).",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","Hook B","VO: 'Lagerprofis mit 10 Jahren Erfahrung - habt ihr eigentlich noch Spaß an dem, was ihr macht?'","Lagerprofis mit 10 Jahren Erfahrung - habt ihr eigentlich noch Spaß an dem, was ihr macht?","Naher Frame auf erfahrene Hände am Stapler-Lenkrad (close), dann Cut auf Hochregallager-Wide-Shot Kupferzell (sofern Drohnen-Genehmigung; sonst Tilt-up vom Boden).","Close-up + harter Cut auf Wide-Shot.","Underscore mit Aufbau zum Wide-Shot.","1","Mitarbeiter mit erfahrenen Händen am Stapler-Lenkrad","Kupferzell Hochregal","Frage-Form, Meta-konform.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","Hook C","Kein VO. Caption: '30 METER. NEU. WLC.'","30 METER. NEU. WLC.","Größenverhältnis-Hook: Marvin steht klein vor Hochregal-Front (Kupferzell oder Adolf-Würth-Hochregal Adelsheim, je nach Klärung). Harte Typografie '30 METER' oder '36 METER' erscheint Vollbild. Parallax-Effekt zoomt heraus.","Parallax-Effekt, Vollbild-Typografie.","Cinematic Drum-Hit / leise Auflage.","1","Marvin (Hero) klein vor Hochregal","Kupferzell Hochregal-Front oder Adelsheim Adolf-Würth-Hochregal","Diskrepanz Klärung 30m vs. 36m vor Drehtag fixieren. Variante C nur final scripten, wenn Höhe + Bauwerk eindeutig sind.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.1","Splash-Screen","MARVIN. CREW-MODDER. WLC KUPFERZELL.","Vollbild-Typografie als Splash-Screen. Frame-Pause 2 Sek. Konkreter Inhalt offen.","Vollbild-Splash, schwarzer Grund, weiße Typografie.","Drum-Hit auf Splash.","","","","",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.2","Interview-Frage an Hero (Sebastian oder Marvin): 'Wie bist du zu WLC gekommen, und wie ging dein Weg seitdem?' (final beim Drehtag-Interview)","","Story-Bogen Beat 1: Marvin (mid-shot in der Halle, Stapler im Hintergrund).","Statischer Mid-Shot.","Underscore tritt zurück.","1","Sebastian (Quereinsteiger → Führungsfunktion) ODER Marvin (Ex-Azubi → Stufe 10)","Kupferzell Lagerhalle","Hero-Paar im Meeting 12.5. erweitert. Sebastians Quereinstiegs-Geschichte ergänzt Marvins Ex-Azubi-Pfad.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.3","Interview-Frage an Hero: 'Welche Stationen / Schritte hast du bei WLC durchlaufen? Was war der Schlüssel für deine Entwicklung?' (final beim Drehtag-Interview)","","Story-Bogen Beat 2 - Aufstieg: Marvin frontal + Marvin in Aktion (Stapler, Anweisungen geben, Kollegen-Interaktion).","Cut zwischen Frontal-Statement und Action-B-Roll.","Underscore baut auf.","3","Marvin + 2 Kollegen (B-Roll Aktion)","Kupferzell Lagerhalle","",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.4","Interview-Frage an Hero: 'Was bedeutet Weiterentwicklung bei WLC ganz konkret - auch für Leute, die keine Führungsrolle anstreben?' (final beim Drehtag-Interview)","","Story-Bogen Beat 3 - Was anders ist: Marvin frontal, Cut auf Beruf-Bord-Visual (Wand mit Vorschlägen, Karten).","Cut auf Beruf-Bord-Wand close.","Underscore zurückhaltend.","1","Marvin","Kupferzell Pausenraum oder Verwaltungs-Bereich","Cornelia-Hinweis Meeting 12.5.: 'es gibt genug Leute, die sagen, sie möchten gar keine Führung übernehmen' - das soll im Beat aufgegriffen werden.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.5","Caption: 'Modernisiert mit Fördermitteln. Roboter-Bereich. AKL.'","Modernisiert mit Fördermitteln. Roboter-Bereich. AKL.","Equipment-/Zukunfts-Beweis B-Roll-Salve: Hochregal-Wide-Shot Kupferzell + AKL-Bereich Adelsheim Cross-Cut + moderner Roboter-Bereich + Stapler-Bedienung modern.","B-Roll-Salve mit Cross-Cuts, Cinematic-Anteil.","Cinematic-Anteil, Underscore baut zur Salve auf.","","B-Roll-Mitarbeiter pro Bereich","Kupferzell + Adelsheim AKL Cross-Cut","Roboter-Bereich Kupferzell sofern Drohnen-/Sicherheits-Genehmigung.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.6","O-Ton Marvin oder Backup-MA: 'Bei uns ziehst du nicht alle drei Wochen jemand Neues an. Das hilft - jeder weiß, was er tut.'","","Sub-Pain-Beat (Pflicht-Anpassung Re-Analyse, Zeitarbeit-Frust-Subtext): Marvin oder zweiter Stamm-MA, mid-shot.","Statischer Mid-Shot.","Underscore zurückhaltend.","1","Marvin oder Backup-MA aus Casting-Pool der Ausbildungsleitung (Quereinsteiger)","Kupferzell Lagerhalle","Statement im Briefing natürlich freisetzen, nicht auswendig.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.7","O-Ton Marvin: 'Klar, wir arbeiten in zwei Schichten. Aber wer das einmal kennt, will's nicht mehr anders.'","","Schichtarbeit-Beiläufig-Beat: Marvin im Schichtwechsel-Moment / Garderobe oder Eingang.","Walking-Shot oder Stand-Shot in Garderobe.","Underscore zurückhaltend, Schichtwechsel-Atmo.","1","Marvin","Kupferzell Garderobe oder Eingang","Pflicht-Empfehlung Re-Analyse: beiläufig, kein Defizit-Frame.",""
