"Drehort","Video-Nr","Szenen-Nr","Inhalt","Personen","Dauer","Zeit","Anmerkungen"
"Adelsheim - Verwaltung","3","3.5","Walking-Station 4 Büro/ERP: Azubi am Schreibtisch, Bildschirm zeigt ERP-/SAP-Maske, Reporter im Off: 'Excel?' Azubi: 'Auch. Aber nicht das, was den Tag macht.'","2: Großhandel-Azubi + Reporter","","",""
"Drehort: Adelsheim - ZDL","","","","","","",""
"Adelsheim - ZDL","5","Hook D, 5.2-5.6","Hero-Video 5-Interview (3 Fragen: Weg zu WLC / Würth-Anker / Technik macht Schleppen obsolet). Hook D Visual: Saugnoppen + 'Du musst nicht studiert haben - der Rest ist Technik.' Ergonomie-B-Roll: Saugnoppen heben Karton, Fördertechnik in Aktion.","1: Hero Video 5 (Mitte 20, normale Lager-Tätigkeit, Name folgt nach Bestätigung) + 1-2 MA für Ergonomie-B-Roll","","","Saugnoppen für Kartons"
"Adelsheim - ZDL","6","6.4","Antonymen TONNEN/GRAMM: große Palette + Lkw-Heck (TONNEN) vs. Schraube close + Verwiegungs-Detail (GRAMM). Skala-Kontrast.","0-1: B-Roll-MA","","","Schrauben-Heritage-Frame (Würth-Anker)."
"Drehort: Kupferzell - AKL / Roboter-Bereich","","","","","","",""
"Kupferzell - AKL / Roboter-Bereich","5","5.x B-Roll","Roboter-Beat: automatisierter Bereich, Roboter Ware A nach B (keine MA). Equipment-Beweis-Salve: modernisiert mit Fördermitteln. B-Roll für Video 5 Reframe.","0 (B-Roll, kein MA)","","",""
"Drehort: Kupferzell - Hochregal außen","","","","","","",""
"Kupferzell - Hochregal außen","5","Hook C","Größenverhältnis-Hook: Marvin (oder Modell-MA) klein vor Hochregal-Front, Vollbild-Typografie '30 METER' / '36 METER' (Höhe noch offen). Parallax-Effekt zoomt heraus.","1: Marvin oder Modell-MA","","","Drohne möglich? "
"Kupferzell - Hochregal außen","6","6.2, 6.3","Antonymen LEISE (Hochregal-Wide-Shot bei Dämmerung) + DRAUSSEN (Drohne über Halle / Außen-Boden-Aufnahme).","0 (B-Roll)","","","PLAN A Drohne, PLAN B Boden-Aufnahmen. Dämmerungs-Cut ggf. später am Tag."
"Drehort: Kupferzell - Hochregal innen","","","","","","",""
"Kupferzell - Hochregal innen","4","4.1-4.4 (alternativ)","Marvin-Beats: Splash-Frame + Interview 3 Fragen (Einstieg / Aufstieg / Was anders). NUR wenn Marvin am 18.5. vormittags Kupferzell verfügbar.","1: Marvin (Stufe 10, Ex-Azubi -> Team-Verantwortlich)","","",""
"Kupferzell - Hochregal innen","5","Hook A, Hook B","Hook A: Lange Gang-Aufnahme (Tele-Kompression, Slow-Motion, MA geht weg von Kamera in Hochregal-Gang). Hook B: erfahrene Hände am Stapler-Lenkrad close + Cut auf Hochregal-Wide-Shot.","1: MA (Marvin falls da, sonst Backup)","","","Slider oder Stabilizer für lange Gang-Aufnahme."
"Kupferzell - Hochregal innen","6","6.1 B-Roll","Antonymen SCHNELL: Stapler-Tracking-Shot in Bewegung + Wide-Shot Hochregal innen.","1-2: MA für B-Roll","","","Material auch für Video 4 und Video 5 verwertbar."
